Entry Price,Sell Price,Quantity,PnL,Trade Duration (s),Trade Date Time,Sell Reason,Percent of Trade,Highest Price Reached,Earnings with Highest Price (%),Lowest Price Reached,Lowest Price under Buy Price (%),Long / Short,Earnings Total,Earnings per Trade,Percent per Trade,Profit per year,Profit with ...,50
155.52,155.29,0.16,0.022472576,55.9,2025-11-07T00:20:06.558Z,profit target reached,0.0349493502,155.545,0.0737,155.345,0.0161,short,,,,,,
155.85,156,0.16,0.009633408,12.5,2025-11-07T00:33:34.292Z,profit target reached,0.01501366637,155.975,0.0226,155.815,-0.0225,long,,,,,,
155.95,155.84,0.16,0.0032301824,71.72,2025-11-07T01:08:25.946Z,profit target reached,0.005037469453,156.085,0.1442,155.795,0.0866,short,,,,,,
156.39,156.54,0.16,0.0095836416,44.21,2025-11-07T01:18:26.324Z,profit target reached,0.0149878571,156.58,0.0639,156.345,-0.0288,long,,,,,,
156.01,155.86,0.16,0.0096255744,23.15,2025-11-07T01:33:29.931Z,profit target reached,0.01501685862,156.025,0.0673,155.795,0.0096,short,,,,,,
155.59,155.82,0.16,0.0224555264,12.67,2025-11-07T01:55:21.861Z,profit target reached,0.03493855353,155.795,0.0741,155.565,-0.0161,long,,,,,,
156.18,156.54,0.16,-0.0720018432,96.4,2025-11-07T02:24:30.041Z,stop loss triggered,-0.1124524787,156.525,0.2787,156.155,0.2209,short,,,,,,
157.28,156.95,0.16,-0.0672873216,101.97,2025-11-07T02:42:00.114Z,stop loss triggered,-0.1058294994,157.28,-0.0576,156.915,-0.2321,long,,,,,,
157.16,157.34,0.16,0.0143119872,276.42,2025-11-07T02:48:10.341Z,profit target reached,0.02249271908,157.335,0.0537,156.895,-0.1686,long,,,,,,
157.44,157.77,0.16,-0.0673172736,96.92,2025-11-07T03:23:23.056Z,stop loss triggered,-0.1059843156,157.765,0.2642,157.395,0.2064,short,,,,,,
156.43,156.1,0.16,-0.0672089856,223.08,2025-11-07T04:25:51.844Z,stop loss triggered,-0.1051350162,156.455,-0.0416,156.105,-0.2078,long,,,,,,
155.94,156.11,0.16,0.0128246528,85.96,2025-11-07T04:57:14.477Z,profit target reached,0.01999876358,156.115,0.0546,155.795,-0.093,long,,,,,,
157.11,156.88,0.16,0.0223260416,44.34,2025-11-07T05:22:18.565Z,profit target reached,0.03507644396,157.115,0.0608,156.925,0.0032,short,,,,,,
157.7,157.83,0.16,0.0062633728,80.78,2025-11-07T05:52:05.909Z,profit target reached,0.009877338906,157.855,0.0407,157.645,-0.0349,long,,,,,,
157.56,157.45,0.16,0.0030818048,28.42,2025-11-07T06:30:53.612Z,profit target reached,0.004855691643,157.565,0.0608,157.425,0.0032,short,,,,,,
